ANÁLISIS LÉXICO - ANALIZADOR DART
Desarrollador: EnriqueRosado
Archivo analizado: algoritmos/algoritmo_enrique.dart
Fecha y hora: 14/06/2026 17:34
TOKENS ENCONTRADOS: 149

[Línea 74] CLASS                → class
[Línea 74] IDENTIFICADOR        → Pelicula
[Línea 74] LLAVE_IZQ            → {
[Línea 76] STRING_TYPE          → String
[Línea 76] IDENTIFICADOR        → titulo
[Línea 76] PUNTOYCOMA           → ;
[Línea 77] DOUBLE_TYPE          → double
[Línea 77] IDENTIFICADOR        → calificacion
[Línea 77] PUNTOYCOMA           → ;
[Línea 79] IDENTIFICADOR        → Pelicula
[Línea 79] PARENTESIS_IZQ       → (
[Línea 79] IDENTIFICADOR        → this
[Línea 79] PUNTO                → .
[Línea 79] IDENTIFICADOR        → titulo
[Línea 79] COMA                 → ,
[Línea 79] IDENTIFICADOR        → this
[Línea 79] PUNTO                → .
[Línea 79] IDENTIFICADOR        → calificacion
[Línea 79] PARENTESIS_DER       → )
[Línea 79] PUNTOYCOMA           → ;
[Línea 81] VOID                 → void
[Línea 81] IDENTIFICADOR        → mostrarInformacion
[Línea 81] PARENTESIS_IZQ       → (
[Línea 81] PARENTESIS_DER       → )
[Línea 81] LLAVE_IZQ            → {
[Línea 82] PRINT                → print
[Línea 82] PARENTESIS_IZQ       → (
[Línea 82] CADENA               → "Título: $titulo"
[Línea 82] PARENTESIS_DER       → )
[Línea 82] PUNTOYCOMA           → ;
[Línea 83] PRINT                → print
[Línea 83] PARENTESIS_IZQ       → (
[Línea 83] CADENA               → "Calificación: $calificacion"
[Línea 83] PARENTESIS_DER       → )
[Línea 83] PUNTOYCOMA           → ;
[Línea 84] LLAVE_DER            → }
[Línea 86] STRING_TYPE          → String
[Línea 86] IDENTIFICADOR        → obtenerCategoria
[Línea 86] PARENTESIS_IZQ       → (
[Línea 86] PARENTESIS_DER       → )
[Línea 86] LLAVE_IZQ            → {
[Línea 87] RETURN               → return
[Línea 87] CADENA               → "Recomendada"
[Línea 87] PUNTOYCOMA           → ;
[Línea 88] LLAVE_DER            → }
[Línea 89] LLAVE_DER            → }
[Línea 91] VOID                 → void
[Línea 91] IDENTIFICADOR        → mostrarGeneros
[Línea 91] PARENTESIS_IZQ       → (
[Línea 91] IDENTIFICADOR        → List
[Línea 91] MENOR                → <
[Línea 91] STRING_TYPE          → String
[Línea 91] MAYOR                → >
[Línea 91] IDENTIFICADOR        → generos
[Línea 91] PARENTESIS_DER       → )
[Línea 91] LLAVE_IZQ            → {
[Línea 93] FOR                  → for
[Línea 93] PARENTESIS_IZQ       → (
[Línea 93] VAR                  → var
[Línea 93] IDENTIFICADOR        → genero
[Línea 93] IDENTIFICADOR        → in
[Línea 93] IDENTIFICADOR        → generos
[Línea 93] PARENTESIS_DER       → )
[Línea 93] LLAVE_IZQ            → {
[Línea 94] PRINT                → print
[Línea 94] PARENTESIS_IZQ       → (
[Línea 94] IDENTIFICADOR        → genero
[Línea 94] PARENTESIS_DER       → )
[Línea 94] PUNTOYCOMA           → ;
[Línea 95] LLAVE_DER            → }
[Línea 97] LLAVE_DER            → }
[Línea 99] VOID                 → void
[Línea 99] IDENTIFICADOR        → main
[Línea 99] PARENTESIS_IZQ       → (
[Línea 99] PARENTESIS_DER       → )
[Línea 99] LLAVE_IZQ            → {
[Línea 109] IDENTIFICADOR        → Pelicula
[Línea 109] IDENTIFICADOR        → pelicula
[Línea 109] ASIGNACION           → =
[Línea 109] IDENTIFICADOR        → Pelicula
[Línea 109] PARENTESIS_IZQ       → (
[Línea 110] CADENA               → "Inception"
[Línea 110] COMA                 → ,
[Línea 111] DECIMAL              → 8.8
[Línea 112] PARENTESIS_DER       → )
[Línea 112] PUNTOYCOMA           → ;
[Línea 114] IDENTIFICADOR        → pelicula
[Línea 114] PUNTO                → .
[Línea 114] IDENTIFICADOR        → mostrarInformacion
[Línea 114] PARENTESIS_IZQ       → (
[Línea 114] PARENTESIS_DER       → )
[Línea 114] PUNTOYCOMA           → ;
[Línea 116] STRING_TYPE          → String
[Línea 116] IDENTIFICADOR        → categoria
[Línea 116] ASIGNACION           → =
[Línea 117] IDENTIFICADOR        → pelicula
[Línea 117] PUNTO                → .
[Línea 117] IDENTIFICADOR        → obtenerCategoria
[Línea 117] PARENTESIS_IZQ       → (
[Línea 117] PARENTESIS_DER       → )
[Línea 117] PUNTOYCOMA           → ;
[Línea 119] PRINT                → print
[Línea 119] PARENTESIS_IZQ       → (
[Línea 119] IDENTIFICADOR        → categoria
[Línea 119] PARENTESIS_DER       → )
[Línea 119] PUNTOYCOMA           → ;
[Línea 121] IDENTIFICADOR        → List
[Línea 121] MENOR                → <
[Línea 121] STRING_TYPE          → String
[Línea 121] MAYOR                → >
[Línea 121] IDENTIFICADOR        → generos
[Línea 121] ASIGNACION           → =
[Línea 121] CORCHETE_IZQ         → [
[Línea 122] CADENA               → "Acción"
[Línea 122] COMA                 → ,
[Línea 123] CADENA               → "Drama"
[Línea 123] COMA                 → ,
[Línea 124] CADENA               → "Ciencia ficción"
[Línea 125] CORCHETE_DER         → ]
[Línea 125] PUNTOYCOMA           → ;
[Línea 127] IDENTIFICADOR        → mostrarGeneros
[Línea 127] PARENTESIS_IZQ       → (
[Línea 127] IDENTIFICADOR        → generos
[Línea 127] PARENTESIS_DER       → )
[Línea 127] PUNTOYCOMA           → ;
[Línea 129] IDENTIFICADOR        → Map
[Línea 129] MENOR                → <
[Línea 129] STRING_TYPE          → String
[Línea 129] COMA                 → ,
[Línea 129] IDENTIFICADOR        → dynamic
[Línea 129] MAYOR                → >
[Línea 129] IDENTIFICADOR        → datos
[Línea 129] ASIGNACION           → =
[Línea 129] LLAVE_IZQ            → {
[Línea 130] CADENA               → "titulo"
[Línea 130] DOS_PUNTOS           → :
[Línea 130] CADENA               → "Interstellar"
[Línea 130] COMA                 → ,
[Línea 131] CADENA               → "anio"
[Línea 131] DOS_PUNTOS           → :
[Línea 131] ENTERO               → 2014
[Línea 132] LLAVE_DER            → }
[Línea 132] PUNTOYCOMA           → ;
[Línea 134] PRINT                → print
[Línea 134] PARENTESIS_IZQ       → (
[Línea 134] IDENTIFICADOR        → datos
[Línea 134] PARENTESIS_DER       → )
[Línea 134] PUNTOYCOMA           → ;
[Línea 136] LLAVE_DER            → }

ANÁLISIS COMPLETADO
