ANÁLISIS LÉXICO - ANALIZADOR DART
Desarrollador: HenryOlvera
Archivo analizado: algoritmos/algoritmo_henry.dart
Fecha y hora: 14/06/2026 17:32
TOKENS ENCONTRADOS: 225

[Línea 2] VOID                 → void
[Línea 2] IDENTIFICADOR        → main
[Línea 2] PARENTESIS_IZQ       → (
[Línea 2] PARENTESIS_DER       → )
[Línea 2] LLAVE_IZQ            → {
[Línea 3] INT_TYPE             → int
[Línea 3] IDENTIFICADOR        → edad
[Línea 3] ASIGNACION           → =
[Línea 3] ENTERO               → 20
[Línea 3] PUNTOYCOMA           → ;
[Línea 4] BOOL_TYPE            → bool
[Línea 4] IDENTIFICADOR        → activo
[Línea 4] ASIGNACION           → =
[Línea 4] TRUE                 → true
[Línea 4] PUNTOYCOMA           → ;
[Línea 5] INT_TYPE             → int
[Línea 5] IDENTIFICADOR        → contador
[Línea 5] ASIGNACION           → =
[Línea 5] ENTERO               → 0
[Línea 5] PUNTOYCOMA           → ;
[Línea 6] INT_TYPE             → int
[Línea 6] IDENTIFICADOR        → opcion
[Línea 6] ASIGNACION           → =
[Línea 6] ENTERO               → 1
[Línea 6] PUNTOYCOMA           → ;
[Línea 8] PRINT                → print
[Línea 8] PARENTESIS_IZQ       → (
[Línea 8] CADENA               → 'Inicio - edad: $edad, activo: $activo, contador: $contador, opcion: $opcion'
[Línea 8] PARENTESIS_DER       → )
[Línea 8] PUNTOYCOMA           → ;
[Línea 11] IF                   → if
[Línea 11] PARENTESIS_IZQ       → (
[Línea 11] IDENTIFICADOR        → edad
[Línea 11] MAYOR_IGUAL          → >=
[Línea 11] ENTERO               → 18
[Línea 11] AND                  → &&
[Línea 11] IDENTIFICADOR        → activo
[Línea 11] IGUAL_IGUAL          → ==
[Línea 11] TRUE                 → true
[Línea 11] PARENTESIS_DER       → )
[Línea 11] LLAVE_IZQ            → {
[Línea 12] PRINT                → print
[Línea 12] PARENTESIS_IZQ       → (
[Línea 12] CADENA               → 'Acceso permitido'
[Línea 12] PARENTESIS_DER       → )
[Línea 12] PUNTOYCOMA           → ;
[Línea 13] LLAVE_DER            → }
[Línea 13] ELSE                 → else
[Línea 13] LLAVE_IZQ            → {
[Línea 14] PRINT                → print
[Línea 14] PARENTESIS_IZQ       → (
[Línea 14] CADENA               → 'Acceso denegado'
[Línea 14] PARENTESIS_DER       → )
[Línea 14] PUNTOYCOMA           → ;
[Línea 15] LLAVE_DER            → }
[Línea 18] WHILE                → while
[Línea 18] PARENTESIS_IZQ       → (
[Línea 18] IDENTIFICADOR        → contador
[Línea 18] MENOR                → <
[Línea 18] ENTERO               → 3
[Línea 18] PARENTESIS_DER       → )
[Línea 18] LLAVE_IZQ            → {
[Línea 19] IDENTIFICADOR        → contador
[Línea 19] INCREMENTO           → ++
[Línea 19] PUNTOYCOMA           → ;
[Línea 20] PRINT                → print
[Línea 20] PARENTESIS_IZQ       → (
[Línea 20] CADENA               → 'Dentro while, contador: $contador'
[Línea 20] PARENTESIS_DER       → )
[Línea 20] PUNTOYCOMA           → ;
[Línea 21] IF                   → if
[Línea 21] PARENTESIS_IZQ       → (
[Línea 21] IDENTIFICADOR        → contador
[Línea 21] IGUAL_IGUAL          → ==
[Línea 21] ENTERO               → 2
[Línea 21] PARENTESIS_DER       → )
[Línea 21] LLAVE_IZQ            → {
[Línea 23] IDENTIFICADOR        → contador
[Línea 23] INCREMENTO           → ++
[Línea 23] PUNTOYCOMA           → ;
